Nº DE INSCRICIÓN; TIPO ENTIDADE; NOME; ENDEREZO; CÓD. POSTAL; CÓDIGO DE PROVINCIA; PROVINCIA; CÓDIGO DE CONCELLO; CONCELLO; TELÉFONO; DATA DE ALTA; TIPO_MODALIDADE; MODALIDADE; TIPO_ESPECIALIDADE; ESPECIALIDADE
C-06527;CLUBE DEPORTIVO;A.D. IES DE AMES;PEREGRINA S/N;15220;15;A CORUÑA;15002;AMES;981891589;24/02/2000;42;PIRAGÜISMO;222;RAFTING;
C-06527;CLUBE DEPORTIVO;A.D. IES DE AMES;PEREGRINA S/N;15220;15;A CORUÑA;15002;AMES;981891589;24/02/2000;49;TENIS DE MESA;0;;
C-06527;CLUBE DEPORTIVO;A.D. IES DE AMES;PEREGRINA S/N;15220;15;A CORUÑA;15002;AMES;981891589;24/02/2000;54;VOLEIBOL;0;;
C-12545;CLUBE DEPORTIVO;ABUELO BOX;RÚA DE ABAIXO,2 ,2º A;15895;15;A CORUÑA;15002;AMES;670516270;08/02/2016;10;BOXEO;0;;
C-12545;CLUBE DEPORTIVO;ABUELO BOX;RÚA DE ABAIXO,2 ,2º A;15895;15;A CORUÑA;15002;AMES;670516270;08/02/2016;29;JUDO E D.A.;11;ARTES MARCIALES;
C-12545;CLUBE DEPORTIVO;ABUELO BOX;RÚA DE ABAIXO,2 ,2º A;15895;15;A CORUÑA;15002;AMES;670516270;08/02/2016;29;JUDO E D.A.;178;JIU-JITSU;
C-12545;CLUBE DEPORTIVO;ABUELO BOX;RÚA DE ABAIXO,2 ,2º A;15895;15;A CORUÑA;15002;AMES;670516270;08/02/2016;30;KÁRATE E D.A.;11;ARTES MARCIALES;
C-12545;CLUBE DEPORTIVO;ABUELO BOX;RÚA DE ABAIXO,2 ,2º A;15895;15;A CORUÑA;15002;AMES;670516270;08/02/2016;32;LOITA;87;SAMBO;
C-12545;CLUBE DEPORTIVO;ABUELO BOX;RÚA DE ABAIXO,2 ,2º A;15895;15;A CORUÑA;15002;AMES;670516270;08/02/2016;32;LOITA;188;LOITA OLIMPICA;
C-12545;CLUBE DEPORTIVO;ABUELO BOX;RÚA DE ABAIXO,2 ,2º A;15895;15;A CORUÑA;15002;AMES;670516270;08/02/2016;64;KICKBOXING;0;;
C-11893;CLUBE DEPORTIVO;AGRUPACION DEPORTIVA CONFIADOS-MILLADOIRO;PARDIÑEIRAS, 8;15895;15;A CORUÑA;15002;AMES;881972021;27/03/2014;24;FÚTBOL;0;;
C-11836;CLUBE DEPORTIVO;ALA DELTA GALICIA;URBANIZACION MILLAMAR, 12;15895;15;A CORUÑA;15002;AMES;626651904;04/02/2014;17;DEPORTES AÉREOS;156;ALA DELTA;
C-13722;CLUBE DEPORTIVO;AMES ATLETISMO;AVENIDA DA MAÍA,83, BAJO;15220;15;A CORUÑA;15002;AMES;639715659;19/07/2019;2;ATLETISMO;0;;
C-14266;CLUBE DEPORTIVO;AMES JUDO CLUB;RÚA CURUXA, 8;15895;15;A CORUÑA;15002;AMES;615093734;04/10/2021;29;JUDO E D.A.;0;;
C-11995;CLUBE DEPORTIVO;AMES RADIO CONTROL CLUB;ALCALDE LORENZO,7;15220;15;A CORUÑA;15002;AMES;625372491;18/07/2014;62;AUTOMODELISMO/RADIOCONTROL;164;AEROMODELISMO;
C-12784;CLUBE DEPORTIVO;AMIZAR AGILITY;AVDA ROSALÍA DE CASTRO 28, 3º D. MILLADOIRO;15895;15;A CORUÑA;15002;AMES;;11/11/2016;11;CAZA;256;AGILITY;
C-07475;CLUBE DEPORTIVO;ARROAZ CLUB DE BUCEO;ROSALIA DE CASTRO Nº56, BAIXO;15702;15;A CORUÑA;15002;AMES;600016716;31/07/2002;1;ACTIVIDADES SUBACUÁTICAS;0;;
C-11005;CLUBE DEPORTIVO;ASOCIACION GALEGA DE BRAZILIAN JIU-JITSU;AVDA DA PEREGRINA, 21 PORTAL 6 - 2º F;15220;15;A CORUÑA;15002;AMES;60966317;26/10/2011;29;JUDO E D.A.;0;;
C-09027;CLUBE DEPORTIVO;ASOCIACIÓN CULTURAL- DEPORTIVA ALDEA NOVA;URBANIZACIÓN ALDEA NOVA LOCAL SOCIAL;15220;15;A CORUÑA;15002;AMES;981 890742;18/09/2006;5;BALONCESTO;0;;
C-09027;CLUBE DEPORTIVO;ASOCIACIÓN CULTURAL- DEPORTIVA ALDEA NOVA;URBANIZACIÓN ALDEA NOVA LOCAL SOCIAL;15220;15;A CORUÑA;15002;AMES;981 890742;18/09/2006;13;CICLISMO;0;;
C-09027;CLUBE DEPORTIVO;ASOCIACIÓN CULTURAL- DEPORTIVA ALDEA NOVA;URBANIZACIÓN ALDEA NOVA LOCAL SOCIAL;15220;15;A CORUÑA;15002;AMES;981 890742;18/09/2006;24;FÚTBOL;0;;
C-09027;CLUBE DEPORTIVO;ASOCIACIÓN CULTURAL- DEPORTIVA ALDEA NOVA;URBANIZACIÓN ALDEA NOVA LOCAL SOCIAL;15220;15;A CORUÑA;15002;AMES;981 890742;18/09/2006;48;TENIS;0;;
C-09027;CLUBE DEPORTIVO;ASOCIACIÓN CULTURAL- DEPORTIVA ALDEA NOVA;URBANIZACIÓN ALDEA NOVA LOCAL SOCIAL;15220;15;A CORUÑA;15002;AMES;981 890742;18/09/2006;59;PÁDEL;0;;
